Data;Ora;μg/m3
01/05/2016;12.03.52;0,70
01/05/2016;12.04.53;0,72
01/05/2016;12.05.52;0,81
01/05/2016;12.06.52;0,80
01/05/2016;12.07.52;0,75
01/05/2016;12.08.53;0,77
01/05/2016;12.09.52;0,80
01/05/2016;12.10.52;0,68
01/05/2016;12.11.52;0,76
01/05/2016;12.12.52;0,83
01/05/2016;12.13.52;0,83
01/05/2016;12.14.52;0,77
01/05/2016;12.15.52;0,73
01/05/2016;12.16.52;0,73
01/05/2016;12.17.52;0,70
01/05/2016;12.18.53;0,76
01/05/2016;12.19.52;0,90
01/05/2016;12.20.52;0,73
01/05/2016;12.21.53;0,80
01/05/2016;12.22.53;0,81
01/05/2016;12.23.52;0,79
01/05/2016;12.24.52;0,79
01/05/2016;12.25.52;0,78
01/05/2016;12.26.52;0,81
01/05/2016;12.27.52;0,88
01/05/2016;12.28.52;0,73
01/05/2016;12.29.52;0,79
01/05/2016;12.30.52;0,73
01/05/2016;12.31.52;0,68
01/05/2016;12.32.52;0,84
01/05/2016;12.33.52;0,80
01/05/2016;12.34.52;0,84
01/05/2016;12.35.52;0,95
01/05/2016;12.36.53;0,85
01/05/2016;12.37.52;0,77
01/05/2016;12.38.52;0,80
01/05/2016;12.39.53;0,89
01/05/2016;12.40.52;0,80
01/05/2016;12.41.52;0,76
01/05/2016;12.42.52;0,72
01/05/2016;12.43.52;0,87
01/05/2016;12.44.52;0,84
01/05/2016;12.45.52;0,72
01/05/2016;12.46.52;0,72
01/05/2016;12.47.52;0,70
01/05/2016;12.48.52;0,75
01/05/2016;12.49.52;0,81
01/05/2016;12.50.52;0,66
01/05/2016;12.51.52;0,76
01/05/2016;12.52.52;0,78
01/05/2016;12.53.52;0,73
01/05/2016;12.54.52;0,72
01/05/2016;12.55.52;0,79
01/05/2016;12.56.52;0,67
01/05/2016;12.57.52;0,84
01/05/2016;12.58.53;0,71
01/05/2016;12.59.52;0,72
01/05/2016;13.00.52;0,77
01/05/2016;13.01.52;0,75
01/05/2016;13.02.52;0,84
01/05/2016;13.03.52;0,85
01/05/2016;13.04.52;0,75
01/05/2016;13.05.52;0,86
01/05/2016;13.06.52;0,84
01/05/2016;13.07.53;0,89
01/05/2016;13.08.52;0,85
01/05/2016;13.09.52;0,84
01/05/2016;13.10.52;0,78
01/05/2016;13.11.52;0,79
01/05/2016;13.12.52;0,85
01/05/2016;13.13.52;0,76
01/05/2016;13.14.52;0,82
01/05/2016;13.15.52;0,73
01/05/2016;13.16.52;0,75
01/05/2016;13.17.52;0,85
01/05/2016;13.18.52;0,89
01/05/2016;13.19.52;0,81
01/05/2016;13.20.52;0,87
01/05/2016;13.21.52;0,83
01/05/2016;13.22.52;0,86
01/05/2016;13.23.53;0,90
01/05/2016;13.24.52;0,90
01/05/2016;13.25.52;0,90
01/05/2016;13.26.52;0,92
01/05/2016;13.27.52;0,76
01/05/2016;13.28.53;0,84
01/05/2016;13.29.52;0,91
01/05/2016;13.30.52;0,96
01/05/2016;13.31.52;0,85
01/05/2016;13.32.52;0,84
01/05/2016;13.33.52;0,75
01/05/2016;13.34.53;0,65
01/05/2016;13.35.53;0,82
01/05/2016;13.36.53;0,94
01/05/2016;13.37.53;0,94
